,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,label
125,6.7,3.3,5.7,2.1,virginica,2
126,7.2,3.2,6.0,1.8,virginica,2
127,6.2,2.8,4.8,1.8,virginica,0
128,6.1,3.0,4.9,1.8,virginica,0
129,6.4,2.8,5.6,2.1,virginica,2
130,7.2,3.0,5.8,1.6,virginica,2
131,7.4,2.8,6.1,1.9,virginica,2
132,7.9,3.8,6.4,2.0,virginica,2
133,6.4,2.8,5.6,2.2,virginica,2
134,6.3,2.8,5.1,1.5,virginica,0
135,6.1,2.6,5.6,1.4,virginica,0
136,7.7,3.0,6.1,2.3,virginica,2
137,6.3,3.4,5.6,2.4,virginica,2
138,6.4,3.1,5.5,1.8,virginica,2
139,6.0,3.0,4.8,1.8,virginica,0
140,6.9,3.1,5.4,2.1,virginica,2
141,6.7,3.1,5.6,2.4,virginica,2
142,6.9,3.1,5.1,2.3,virginica,2
143,5.8,2.7,5.1,1.9,virginica,0
144,6.8,3.2,5.9,2.3,virginica,2
145,6.7,3.3,5.7,2.5,virginica,2
146,6.7,3.0,5.2,2.3,virginica,2
147,6.3,2.5,5.0,1.9,virginica,0
148,6.5,3.0,5.2,2.0,virginica,2
149,6.2,3.4,5.4,2.3,virginica,2
150,5.9,3.0,5.1,1.8,virginica,0
